year,month,day,hour,minute,second,freq_MHz,utc_hr
2017,8,20,14,40,2.3,10000000.0731,14.66730556
2017,8,20,14,40,14.2,10000000.0706,14.67061111
2017,8,20,14,40,26.1,10000000.0778,14.67391667
2017,8,20,14,40,37.9,10000000.0861,14.67719444
2017,8,20,14,40,49.8,10000000.0793,14.6805
2017,8,20,14,41,1.7,10000000.0948,14.68380556
2017,8,20,14,41,13.6,10000000.1061,14.68711111
2017,8,20,14,41,25.5,10000000.1131,14.69041667
2017,8,20,14,41,37.4,10000000.1101,14.69372222
2017,8,20,14,41,49.3,10000000.1096,14.69702778
2017,8,20,14,42,1.2,10000000.1183,14.70033333
2017,8,20,14,42,13.1,10000000.1150,14.70363889
2017,8,20,14,42,25,10000000.0005,14.70694444
2017,8,20,14,42,36.8,10000000.0049,14.71022222
2017,8,20,14,42,48.7,10000000.0069,14.71352778
2017,8,20,14,43,0.6,10000000.0016,14.71683333
2017,8,20,14,43,12.5,9999999.9967,14.72013889
2017,8,20,14,43,24.4,10000000.0127,14.72344444
2017,8,20,14,43,36.3,10000000.0161,14.72675
2017,8,20,14,43,48.2,10000000.0210,14.73005556
2017,8,20,14,44,0.1,10000000.0461,14.73336111
2017,8,20,14,44,11.9,10000000.0734,14.73663889
2017,8,20,14,44,23.8,10000000.0817,14.73994444
2017,8,20,14,44,35.7,10000000.0724,14.74325
2017,8,20,14,44,47.6,10000000.0681,14.74655556
2017,8,20,14,44,59.5,10000000.1117,14.74986111
2017,8,20,14,45,11.4,10000000.1163,14.75316667
2017,8,20,14,45,23.3,10000000.0492,14.75647222
2017,8,20,14,45,35.2,10000000.1138,14.75977778
2017,8,20,14,45,47.1,10000000.1134,14.76308333
2017,8,20,14,45,58.9,10000000.1039,14.76636111
2017,8,20,14,46,10.8,10000000.1044,14.76966667
2017,8,20,14,46,22.7,10000000.1034,14.77297222
2017,8,20,14,46,34.6,10000000.0938,14.77627778
2017,8,20,14,46,46.5,10000000.1168,14.77958333
2017,8,20,14,46,58.4,10000000.1146,14.78288889
2017,8,20,14,47,10.3,10000000.0964,14.78619444
2017,8,20,14,47,22.2,10000000.1122,14.7895
2017,8,20,14,47,34,10000000.1134,14.79277778
2017,8,20,14,47,45.9,10000000.0708,14.79608333
2017,8,20,14,47,57.8,10000000.0737,14.79938889
2017,8,20,14,48,9.7,10000000.0780,14.80269444
2017,8,20,14,48,21.6,10000000.0701,14.806
2017,8,20,14,48,33.5,10000000.0887,14.80930556
2017,8,20,14,48,45.4,10000000.1327,14.81261111
2017,8,20,14,48,57.3,10000000.1372,14.81591667
2017,8,20,14,49,9.2,10000000.1517,14.81922222
2017,8,20,14,49,21,10000000.1912,14.8225
2017,8,20,14,49,32.9,10000000.1753,14.82580556
2017,8,20,14,49,44.8,10000000.1793,14.82911111
2017,8,20,14,49,56.7,10000000.0696,14.83241667
2017,8,20,14,50,8.6,10000000.0733,14.83572222
2017,8,20,14,50,20.5,9999999.9987,14.83902778
2017,8,20,14,50,32.4,10000000.0012,14.84233333
2017,8,20,14,50,44.3,9999999.9994,14.84563889
2017,8,20,14,50,56.2,9999999.9982,14.84894444
2017,8,20,14,51,8,9999999.9995,14.85222222
2017,8,20,14,51,19.9,9999999.9995,14.85552778
2017,8,20,14,51,31.8,9999999.9993,14.85883333
2017,8,20,14,51,43.7,10000000.0009,14.86213889
